Record,Kurtosis_IMF1,Kurtosis_IMF2,Kurtosis_IMF3,Kurtosis_IMF4,Kurtosis_IMF5,Kurtosis_IMF6
f0001,8.09071686029543,8.31563378509359,4.36117665454492,3.26215754743593,0.717849897507508,1.10823537887009
f0002,8.06179091499059,5.61848902500522,4.73610345474179,3.57364183701184,1.38096053837813,1.20445105875267
f0003,8.20515916241366,8.87031675193535,4.99214566993316,5.05534225296889,2.68906576345309,3.96761710417227
f0004,5.17076335407449,5.58338838927851,4.49127324899863,2.78895947723845,2.08701962600698,3.2253979697728
f0005,4.9683428708202,4.24371261185451,5.92572150676511,4.1242923394533,1.22879344253405,0.271544650912302
f0006,3.27930392114914,7.58596223919313,3.41396924322552,1.46667270343823,0.693771836222246,-0.168448829508136
f0007,9.62601034852459,13.7822202346162,8.82597201001335,11.6412564666088,6.03051906816589,3.37622650181114
f0008,3.74561707619448,10.0244295691081,10.1456680744688,3.17696568220304,0.868182164048971,0.765320543488627
f0009,7.59090845218511,8.72704555045889,6.90181329962563,4.92261933578689,3.47874530039278,1.08044895749037
f0010,7.03787564633328,8.82194255420588,7.57252634357573,5.7804421563314,3.73282467257407,0.616157156865492
f0011,7.07061104798375,6.4573885229765,5.77108838273838,3.952898782989,2.79227197743349,2.76314330205261
f0012,3.68904709572007,3.88022283721868,2.21622052903904,1.50498194727856,0.878960303911479,0.623749888924772
f0013,6.85583576648861,5.43980341925071,3.30050909103548,1.99344113647177,1.99999041972252,1.20698186323065
f0014,7.57795171001119,6.33670176449576,3.14085565485343,4.35947331223703,1.44839106644169,1.76877073769587
f0015,4.77603540307062,5.73076007128976,2.25667313483524,1.36731454123936,0.299128307236033,0.523329663204195
f0016,5.58071617159961,14.2190769781848,9.77503756428251,7.13434161553987,3.21950924770877,1.1076258892133
f0017,7.28306295742618,7.05238527021001,4.77798371284326,3.12902177565867,1.02500712973234,2.1375127174072
f0018,3.92562060883155,3.7753646892842,2.28904588941434,1.94835345669869,0.805062824416139,0.599381512010881
f0019,5.93355214439198,6.79451453926103,3.25150278714784,2.66062238175498,1.19904524500199,-0.132981935691949
f0020,6.34781486980691,4.19668022569392,4.02726822144908,3.12388724920409,1.59801234306002,0.714595859381237
f0021,8.77856262714769,7.63733970452975,2.82401853255469,1.09541214106171,0.336750484910862,0.181553252750707
f0022,12.9272609815175,13.1346463993005,11.1312718861336,4.77791867873815,2.01731481665311,2.23714075829204
f0023,4.26913499419157,5.33424110244122,2.24521850187337,1.6595456136249,4.96197736152758,1.45582665951059
f0024,5.79343615114581,5.45166631792749,4.23562287677286,2.43067076227726,1.86833904284696,0.459089460575905
f0025,6.67195298900067,5.11079516285244,5.68843502981609,3.12497680433918,2.12942823477439,-0.391356407926768
f0026,9.10155009121289,20.6737349983317,11.2808042256881,6.34890128517462,2.98723379705373,2.28900223883079
f0027,10.4214986266037,12.1876064466118,14.1174346239847,9.93274615890222,5.06832342349516,4.18505279345037
f0028,7.26777452252821,5.87902539193681,2.5789262082306,2.70732842504795,1.84212739111942,0.396697341063888
f0029,7.39115641503889,9.24984211447293,5.11489625908052,1.87809738222285,2.16729623471823,0.314942261944203
f0030,7.61732723725138,8.26885509608883,2.93214680328006,3.18616079230932,1.92841203057632,1.082165716684
f0031,6.00165067117424,7.22183229814959,8.51201786722558,4.77064427347639,2.09717952620607,0.68205873964402
f0033,4.53289213870305,6.96871357857292,3.46061711700562,2.10312984977256,1.44281294054741,0.720838590336288
f0035,8.26050728522345,9.57725297503781,4.2517266857274,5.24661654614588,2.61876485853291,-0.000213143021078555
f0036,8.51463857040569,5.72713271835341,7.53529565066025,2.84780324530654,0.759558977389911,0.253694556781392
f0037,11.3092182447774,6.32536557896781,4.02902913821221,4.34714814064014,0.428994239383678,-0.274092041449866
f0038,5.04800309461366,4.26326106424196,3.68762786492242,3.3968366547876,1.94934268726507,0.478362831315821
f0039,9.2496341167101,6.75126975984205,6.37258654338829,3.3330424183596,0.99628176587877,1.05787651236018
f0040,10.7403072747429,18.8963922766352,9.79202327007903,8.55699727629004,6.30263900133416,14.7145310078086
f0041,7.56808755799615,13.7657775919796,5.78438635440427,6.00016907638002,1.7464213906035,1.28061950991599
f0042,9.84953791005749,13.4870354241062,6.13041217063755,4.9215968638664,6.39048818500984,6.54526533454603
f0044,7.72919877978585,8.17825874047609,9.31268812530486,2.69871808723193,1.18671281346308,1.10049825844612
